标题,Up主,URL链接,播放量,弹幕量,简介,点赞量,投币量,收藏量,分享量,分区,上传日期
全国第1人，全盲玩家靠听声辨位打过黑神话第1个boss,诺子喵呜,https://www.bilibili.com/video/BV1vz421i7mM,373.1万,5133,"一般晚上9点半到10点之间开播，今晚继续挑战黑神话，希望有条件的可以上船支持一下非常感谢！

本人视力是全盲，微弱光感，看电脑屏幕肯定是看不见任何影子的，而且在这种高节奏速度下看影子也没啥用啊哈哈
能够借助无障碍读屏使用电脑和手机，包括发评论和浏览大家的回复，但是支持无障碍的游戏是非常少的，更别说3A
黑神话【并不支持无障碍】一开始我也只是和大多数人对我的想法那样，抱着听听CG刘辟的音乐就算了去下的游戏

不知道还有没有老粉丝记得，我曾经许下一个愿望，我好希望所有主播都在播热门游戏的时候我也能够享受在其中
能够打过第一个BOSS对我来说真的是非常非常出乎意料的结果，或许我很快就会在第二个BOSS卡关，但是没关系，至少我享受过了超出想象的游戏进度

也非常感谢直播间的大家发弹幕引导我找路，希望大家也能在黑神话中游戏愉快",49.1万,23.4万,49.1万,4.6万,"['黑神话天命人来也', '动画', '综合', 'BOSS', '孙悟空', '直播录像', '黑神话悟空', '牯护院', '玩家', '首杀', '盲人']",2024-08-21 17:03:12
多一个人看，这份中国最了不起的非遗，就又多了一个传承人！,夏叔厨房,https://www.bilibili.com/video/BV1eb4214727,304.6万,3557,中国最了不起的非遗—木榨油！太久没见过属于历史的东西，你有没有忘记了身为华夏文明的骄傲？,49.4万,12.2万,49.4万,2111,"['我们的小城游记', '美食', '美食制作', '历史', '文化', '美食教程', '人文', '食用油', '记录片', '非遗', '非遗文化']",2024-08-22 14:10:27
假如在漫展coser背后，用唢呐吹他们的角色主题曲²,浑元Rysn,https://www.bilibili.com/video/BV1Jz421i7w6,355.9万,3667,"第二期！事不过三，还有最后一期，CP可能见！
有难度，看到角色之后迅速在脑子里检索音乐，生怕coser跑了，然尔还是会有错音，吹错（",39.2万,1.3万,39.2万,3081,"['原神创作者交流会', '音乐', '演奏', '二次元', '漫展', '现场', '唢呐', '角色', 'Cosplay', '原神', '原神fes', '原神UP主激励计划4.8']",2024-08-21 12:00:00
黑神话悟空 第一期,鲤鱼Ace,https://www.bilibili.com/video/BV1KE4m197MV,456.6万,7.5万,黑神话悟空 第一期,18.7万,8.1万,18.7万,3823,"['黑神话天命人来也', '游戏', '单机游戏', '搞笑', '黑神话悟空', '鲤鱼', '《黑神话：悟空》8.20 直面天命']",2024-08-21 13:52:49
我在外国论坛科普西游记，成功帮上万玩家入坑黑猴!【格雷】,Gray格雷老师,https://www.bilibili.com/video/BV1aw4m1k7s1,240.2万,5399,"很高兴用自己的技能
为黑猴贡献了一些微薄之力",36.6万,7.7万,36.6万,2400,"['黑神话天命人来也', '游戏', '单机游戏', '翻译', 'STEAM', '游戏杂谈', '科普', '单机游戏', '西游记', '英语', '悟空', '动作游戏', '《黑神话：悟空》8.20 直面天命']",2024-08-21 12:33:37
耗时30天带孩子做套低配版《黑神话悟空》,又又Elf,https://www.bilibili.com/video/BV1EyWVe9E7q,185.6万,3641,Not Found,40.7万,7.2万,40.7万,1.8万,"['用手工打开黑神话悟空', '生活', '手工', '手工', 'cos', '黑神话悟空', '仿妆cos', '盔甲']",2024-08-22 13:11:36
纯黑《黑神话：悟空》全程无伤攻略解说 第一期,-纯黑-,https://www.bilibili.com/video/BV114421U75X,1099.9万,7.7万,"这不得三连支持一下！
视频录制于发售前版本，不保证后续更新后和视频里的内容一致。
质量越高速度越慢，视频越长速度越慢，既然视频又长质量又高那更新速度肯定不会快，所以请耐心等待。
一般情况下会根据游戏背景选择会用哪种语言的歌曲做片尾，但奈何自己中文歌听的太少（没有说中文歌不好的意思，死宅一般只听ACG相关歌曲导致的），只能选兼容性较强的英文歌了。",72.2万,62.5万,72.2万,19.9万,"['黑神话悟空攻略在此', '游戏', '单机游戏', '解说', '无伤', '纯黑', '悟空', '攻略', '黑神话']",2024-08-20 10:00:00
《原神》玛拉妮角色PV——「广结良缘」,原神,https://www.bilibili.com/video/BV1n4421S7o8,289.1万,9898,"玛拉妮有很多人生信条。
比如，出门在外与人为善；再比如，做人留一线日后好相见；以及，穷家富路。
这或许就是为什么她总能在意想不到的地方交到朋友。

中文CV：
玛拉妮——王晓彤
 
日文CV：
玛拉妮——东山奈央

《原神》bilibili服下载地址：https://www.biligame.com/detail/?id=103496",26.4万,5.4万,26.4万,1.4万,"['游戏', '手机游戏', '玛拉妮', '米哈游', 'miHoYo', '原神', '原神5.0']",2024-08-22 12:00:00
把柠檬切开埋进土里会发生什么？想不到柠檬树这么好种植！,种植记,https://www.bilibili.com/video/BV18w4m1k7rV,484.6万,2218,千万别把柠檬切开埋在土里，不然他就会...,25.0万,5529,25.0万,2627,"['三农繁星计划', '生活', '三农', '生活', '柠檬', '分享', '盆栽', '三农', '记录', '扦插', '高压繁殖', '种植小技巧', '三农繁星计划19.0 暑期回村奇遇记']",2024-08-21 20:30:00
【黑神话：悟空】4K 最高画质 全收集 全结局 全剧情流程通关攻略 西游背景动作角色扮演游戏 首款国产3A大作【完结】,11的游戏世界,https://www.bilibili.com/video/BV1AE4m1d7XT,546.3万,6.3万,游戏名：《黑神话：悟空》 是一款以中国神话为背景的动作角色扮演游戏。你将扮演一位“天命人”，为了探寻昔日传说的真相，踏上一条充满危险与惊奇的西游之路。,16.6万,11.7万,16.6万,4.6万,"['黑神话悟空攻略&黑神话悟空日常', '游戏', '单机游戏', 'ARPG', '孙悟空', '主机游戏', '国产游戏', '西游记', '黑神话悟空', '黑神话', '动作游戏', '游戏科学']",2024-08-20 10:56:03
